법정동시도코드,시도명,법정동시군구코드,시군구명,시간코드,전체_카드,교통,백화점,소형유통,숙박,스포츠외,여행,요식,의료,주유,주차장,편의점,할인점외
29,광주,170,북구,53,20636,7511,2442,7891,866,2965,218,19739,890,5492,1778,7810,9074
46,전남,900,진도군,51,456,144,46,203,28,50,0,413,31,171,29,183,180
45,전북,111,전주시 완산구,52,13547,5126,1503,5118,550,2109,129,13320,607,3652,1274,5306,5922
26,부산,230,부산진구,52,18037,7820,3312,5754,741,2281,480,17006,933,3354,1590,7574,7811
48,경남,870,함양군,54,276,89,36,118,6,24,0,316,9,91,24,129,123
47,경북,730,의성군,51,346,86,28,121,12,40,0,313,13,100,20,122,124
47,경북,830,고령군,55,129,6,0,33,0,0,0,78,0,26,6,42,47
46,전남,880,장성군,51,768,213,52,330,34,80,0,645,26,219,57,249,254
41,경기,133,성남시 중원구,52,4352,1668,693,1809,188,644,54,5118,190,886,406,2209,2047
46,전남,720,곡성군,55,241,79,28,101,6,7,0,179,8,65,8,79,80
41,경기,650,포천시,53,1922,470,225,803,64,265,13,2023,83,572,190,961,813
47,경북,111,포항시 남구,53,15262,4494,1560,5455,729,2088,148,14666,975,4769,1028,6054,7117
47,경북,280,문경시,51,600,174,56,236,22,60,0,563,21,163,24,256,248
26,부산,500,수영구,51,9984,4085,1867,3054,442,1310,260,9489,540,1955,928,4118,4247
46,전남,820,해남군,52,895,203,99,369,40,86,0,773,46,263,40,334,303
43,충북,114,청주시 청원구,55,4563,1941,695,1771,229,803,43,4902,197,1513,526,2171,2027
41,경기,271,안산시 상록구,55,3714,1281,507,1399,165,524,27,3973,155,958,393,1852,1732
46,전남,730,구례군,52,545,159,43,236,18,44,0,506,18,172,22,197,191
11,서울,350,노원구,53,49324,12799,7666,20960,2091,7854,578,57135,2577,8901,3577,23745,23230
47,경북,750,청송군,55,71,21,8,24,0,0,0,52,0,6,0,42,28
43,충북,745,증평군,53,1774,736,200,831,76,308,0,1915,57,535,136,877,744
44,충남,810,예산군,53,4198,1348,379,1771,111,437,22,3778,164,1156,191,1661,1577
46,전남,800,장흥군,54,557,146,66,229,25,57,0,487,24,170,46,223,197
42,강원,780,철원군,53,602,134,55,265,23,79,0,634,7,171,65,316,223
45,전북,800,부안군,53,849,273,73,356,26,73,6,707,38,249,44,290,342
27,대구,230,북구,51,22650,7858,3391,8029,797,2820,139,22517,954,5404,1660,10046,10153
27,대구,230,북구,52,29406,10272,4375,10350,991,3476,204,29014,1158,6774,2049,12808,13048
47,경북,750,청송군,54,232,72,29,92,7,15,0,229,15,84,25,117,108
26,부산,710,기장군,55,2320,773,352,816,118,334,61,2304,108,688,347,947,1105
28,인천,260,서구,53,31284,9619,3848,11511,1403,4642,646,31997,1449,6810,3387,13967,13807
29,광주,110,동구,53,7454,2658,978,2695,347,987,79,7090,325,1940,673,2808,3182
47,경북,190,구미시,52,38391,13693,3856,14900,1362,4662,295,36906,1791,11351,2233,16280,17494
42,강원,730,횡성군,52,2010,584,179,841,63,219,13,1744,114,520,151,707,795
43,충북,730,옥천군,54,2094,702,188,773,68,216,6,1701,100,541,186,758,767
42,강원,730,횡성군,55,378,129,30,152,16,54,0,371,12,99,14,146,165
45,전북,800,부안군,54,631,215,63,280,21,60,0,571,21,194,42,240,263
45,전북,140,익산시,54,19332,8324,1736,6845,622,2348,183,17038,801,4355,1384,7511,8221
41,경기,133,성남시 중원구,51,3306,1251,526,1367,169,447,34,3777,147,708,299,1658,1511
