자원번호,자원명,분류
9655,Glycomyces harbinensis,Bacteria
9656,Actinoplanes humidus,Bacteria
9657,Actinoplanes consettensis,Bacteria
9658,Glycomyces tenuis,Bacteria
9659,Saccharomonospora cyanea,Bacteria
9668,Streptomyces albulus,Bacteria
9671,Streptomyces pathocidini,Bacteria
9674,Streptomyces alboflavus,Bacteria
9688,Streptomyces antibioticus,Bacteria
9691,Pseudonocardia alni,Bacteria
9693,Saccharomonospora azurea,Bacteria
9699,Kitasatospora azatica,Bacteria
9703,Streptomyces cellulosae,Bacteria
9708,Streptomyces cinnamonensis,Bacteria
9719,Streptomyces cyaneus,Bacteria
9733,Kitasatospora mediocidica,Bacteria
9734,Kitasatospora kifunensis,Bacteria
9735,Kitasatospora phosalacinea,Bacteria
9740,Seinonella peptonophila,Bacteria
9745,Kitasatospora griseola,Bacteria
9746,Kitasatospora cystarginea,Bacteria
9757,Streptomyces avidinii,Bacteria
9776,Streptomyces echinoruber,Bacteria
9781,Streptomyces hiroshimensis,Bacteria
9790,Laceyella sacchari,Bacteria
9794,Luteococcus japonicus,Bacteria
9796,Intrasporangium calvum,Bacteria
9798,Microlunatus phosphovorus,Bacteria
9802,Gordonia rubripertincta,Bacteria
9803,Gordonia amarae,Bacteria
9807,Gordonia terrae,Bacteria
9811,Rhodococcus opacus,Bacteria
9814,Gordonia hydrophobica,Bacteria
9816,Gordonia hirsuta,Bacteria
9817,Amycolatopsis japonica,Bacteria
9818,Amycolatopsis coloradensis,Bacteria
9819,Streptomyces seoulensis,Bacteria
7536,Clavispora lusitaniae,Yeast
7629,Candida rugopelliculosa,Yeast
7647,Candida inconspicua,Yeast
7649,Candida membranifaciens,Yeast
7654,Candida sake,Yeast
7675,Zygosaccharomyces cidri,Yeast
7678,Candida albicans,Yeast
7689,Candida solani,Yeast
7691,Kazachstania unispora,Yeast
7756,Clavispora lusitaniae,Yeast
7770,Pseudozyma tsukubaensis,Yeast
9646,Thermoactinomyces intermedius,Bacteria
1752,Geobacillus stearothermophilus,Bacteria
2914,Cellulophaga lytica,Bacteria
2915,Leeuwenhoekiella marinoflava,Bacteria
2916,Zobellia uliginosa,Bacteria
2917,Cyclobacterium marinum,Bacteria
2918,Salegentibacter salegens,Bacteria
3128,Bifidobacterium longum subsp. longum,Bacteria
3423,Bifidobacterium merycicum,Bacteria
6444,Penicillium chrysogenum var. dipodomyis,Mold
6437,Penicillium italicum var italicum,Mold
6376,Aspergillus sojae,Mold
6620,Aspergillus niger var. niger fsp. hennebergii,Mold
6595,Aspergillus oryzae var. brunneus,Mold
2921,Serratia ficaria,Bacteria
